source,target,km,days,expense,type,BREED
50179,50283,505.527,4.315,0.431,overseas,routes
50179,50396,99.695,0.623,0.062,ferry,routes
50179,50486,1708.741,14.181,1.418,overseas,routes
50179,50516,2303.24,17.773,1.777,overseas,routes
50179,50713,248.891,2.932,0.293,coastal,routes
50180,50240,88.611,2.954,3.101,road,routes
50180,50249,86.969,2.899,3.044,road,routes
50181,50046,28.21,0.207,0.021,coastal,routes
50181,50302,182.717,6.091,6.395,road,routes
50181,50654,49.562,0.285,0.029,coastal,routes
50182,50003,81.192,2.706,2.842,road,routes
50182,50236,59.858,1.995,2.095,road,routes
50182,50418,147.734,4.924,5.171,road,routes
50183,50144,60.928,2.031,2.132,road,routes
50183,50176,242.678,1.907,0.191,coastal,routes
50183,50241,122.423,0.826,0.083,coastal,routes
50184,50023,121.273,4.042,4.245,road,routes
50184,50153,102.662,3.422,3.593,road,routes
50185,50235,193.789,1.172,0.117,coastal,routes
50185,50238,293.28,1.857,0.186,coastal,routes
50185,50270,99.922,3.331,3.497,road,routes
50185,50303,475.271,3.314,0.331,overseas,routes
50185,50330,84.117,0.711,0.071,slowcoast,routes
50185,50337,106.506,3.55,3.728,road,routes
50185,50462,155.948,1.249,0.125,coastal,routes
50186,50032,59.047,1.968,2.067,road,routes
50186,50207,79.466,0.455,0.045,coastal,routes
50186,50365,91.253,3.042,3.194,road,routes
50186,50730,49.61,1.654,1.736,road,routes
50187,50301,149.217,4.974,5.223,road,routes
50187,50751,79.662,2.655,2.788,road,routes
50188,50107,146.781,4.893,5.137,road,routes
50188,50369,160.671,5.356,5.623,road,routes
50188,50374,307.053,10.235,10.747,road,routes
50188,50495,125.592,0.875,0.088,coastal,routes
50188,50498,110.178,0.72,0.072,coastal,routes
50189,50254,32.62,1.087,1.142,road,routes
50189,50297,167.973,5.599,5.879,road,routes
50190,50140,77.471,2.582,2.711,road,routes
50190,50164,100.411,3.347,3.514,road,routes
50191,50296,131.948,4.398,4.618,road,routes
50191,50367,87.333,2.911,3.057,road,routes
50191,50750,176.892,5.896,6.191,road,routes
50192,50028,47.703,0.477,0.162,downstream,routes
50192,50288,52.114,1.042,0.354,fastup,routes
50192,50661,45.734,0.915,0.311,fastup,routes
